"Environment","Scenario","Session","outer_group","rows","positive_rows","device_count","is_dynamic","positive_rate"
"new_building","dy_L_15","2025.07.29.17.32_新主楼","G01","18046","1357","3","True","0.0751967194946249"
"new_building","dy_L_15","2025.07.29.18.27_新主楼","G02","40579","2765","4","True","0.0681386924271175"
"new_building","dy_L_15","2025.07.29.18.33_新主楼","G03","35358","2872","4","True","0.0812263137055263"
"new_building","dy_L1","2025.07.29.20.04_新主楼","G04","58216","4936","5","True","0.0847876872337502"
"new_building","dy_L5","2025.07.29.20.52_新主楼","G05","58925","672","5","True","0.0114043275350021"
"new_building","st_L_15","2025.07.29.18.42_新主楼","G06","150132","57529","3","False","0.383189459941918"
"new_building","st_L1","2025.07.29.19.22_新主楼","G07","250321","76993","4","False","0.307577071040784"
"new_building","st_L5","2025.07.29.20.16_新主楼","G08","312272","26046","5","False","0.0834080545165753"
"new_building","st_L5","2025.07.29.20.36_新主楼","G08","50312","2642","1","False","0.0525123231038321"
"playground","dy_L_15","2025.07.30.08.12_2025.07.30.08.16（动态L1+L5）","G09","63341","5903","6","True","0.0931939817811528"
"playground","dy_L_15","2025.07.30.08.26_2025.07.30.08.32（动态L1+L5）","G09","106810","7376","5","True","0.0690572043816122"
"playground","dy_L_15","2025.07.30.08.33_2025.07.30.08.36（动态L1+L5）","G10","47243","5178","6","True","0.109603539148657"
"playground","dy_L1","2022.07.08semicircle","G11","63931","17830","2","True","0.278894433060643"
"playground","dy_L1","2022.07.08square","G12","20108","4970","2","True","0.247165307340362"
"playground","dy_L1","2025.07.30.09.13_2025.07.30.09.18（动态L1）","G13","65953","0","6","True","0"
"playground","dy_L1","2025.07.30.09.18_2025.07.30.09.22（动态L1）","G14","56177","11136","6","True","0.198230592591274"
"playground","dy_L1","2025.07.30.09.29_2025.07.30.09.34（动态L1）","G15","69367","11966","6","True","0.172502775094786"
"playground","dy_L1","2025.07.30.09.35_2025.07.30.09.39（动态L1）","G16","54722","10028","6","True","0.183253536054969"
"playground","dy_L5","2025.07.30.10.40_2025.07.30.10.44（动态L5）","G17","50833","1392","6","True","0.0273837861231877"
"playground","dy_L5","2025.07.30.10.44_2025.07.30.10.49（动态L5）","G18","58838","1540","6","True","0.0261735613039192"
"playground","dy_L5","2025.07.30.10.49_2025.07.30.10.52（动态L5）","G19","47356","1232","6","True","0.026015710786384"
"playground","st_L_15","2025.07.30.07.30_2025.07.30.08.01","G20","499998","185568","6","False","0.371137484549938"
"playground","st_L1","2025.07.30.08.40_2025.07.30.09.12","G21","503515","152994","6","False","0.303851920995402"
"playground","st_L5","2025.07.30.09.48_2025.07.30.10.14","G22","316105","38078","6","False","0.120459973742902"
