Environment,Scenario,Session,split
new_building,dy_L1,2025.07.29.20.04_新主楼,train
new_building,dy_L5,2025.07.29.20.52_新主楼,train
new_building,dy_L_15,2025.07.29.18.33_新主楼,train
playground,dy_L1,2022.07.08semicircle,train
playground,dy_L1,2022.07.08square,train
playground,dy_L1,2025.07.30.09.13_2025.07.30.09.18（动态L1）,train
playground,dy_L1,2025.07.30.09.29_2025.07.30.09.34（动态L1）,train
playground,dy_L5,2025.07.30.10.40_2025.07.30.10.44（动态L5）,train
playground,dy_L5,2025.07.30.10.49_2025.07.30.10.52（动态L5）,train
playground,dy_L_15,2025.07.30.08.12_2025.07.30.08.16（动态L1+L5）,train
